Rep,Day,Stop,Company,Address,City,ZIP,Phone,Status,Source,lat,lng
Kody,1,1,Reeves Hardware - Dillard,24 Franklin St,Dillard,30537,,Needs review,GSW,34.9777,-83.3199
Kody,1,2,Reeves Hardware - Clayton,46 Rickman St,Clayton,30525,,Needs review,GSW,34.8826,-83.4065
Kody,1,3,Supply Mart,777 Highway 441 S,Clayton,30525,,Needs review,GSW,34.8826,-83.4065
Kody,1,4,Habersham Hardware & Home Center,5926 GA-115,Clarkesville,30523,706-754-9090,Verified,Dixie,34.645,-83.5243
Kody,1,5,Habersham Hardware & Home Center,5926 Highway 115,Clarkesville,30523,,Verified,GSW,34.645,-83.5243
Kody,1,6,17 Lumber Company,5960 Highway 17 North,Clarkesville,30523,,Verified,GSW,34.645,-83.5243
Kody,1,7,Mitchell Hardware & Building Supply,305 Oak St,Cornelia,30531,,Needs review,Dixie,34.5209,-83.5453
Kody,1,8,Adams Building Supply - Toccoa,2545 Big A Road,Toccoa,30577,,Verified,GSW,34.5665,-83.3114
Kody,1,9,Superior Distribution - Eastanollee,73 Maplewood Lane,Eastanollee,30538,,Needs review,GSW,34.5037,-83.2587
Kody,1,10,GPC Poultry Supply & Hardware,9036 Athens Rd,Carnesville,30521,706-356-0304,Verified,Dixie,34.3631,-83.2547
Kody,1,11,Harbin Lumber - Lavonia,12150 Augusta Road,Lavonia,30553,,Needs review,GSW,34.4528,-83.113
Kody,2,1,Lake Russell Building Supply,575 Harmony Drive,Elberton,30635,706-283-0992,Verified,Dixie,34.1082,-82.8448
Kody,2,2,Harbin Lumber - Athens,4365 Atlanta Hwy,Athens,30606,,Needs review,GSW,33.9461,-83.418
Kody,2,3,Power Building Products,130 Trade St,Bogart,30622,,Needs review,GSW,33.934,-83.5055
Kody,2,4,Magbee Contractors Supply,1065 Bankhead Hwy,Winder,30680,678-425-2600,Verified,Dixie,33.9985,-83.7115
Kody,2,5,Hill's Ace Hardware - Winder,186 W Athens St,Winder,30680,,Needs review,GSW,33.9985,-83.7115
Kody,2,6,Magbee Contractors Supply,414 Cedar Creek Road,Winder,30680,,Verified,Dixie,33.9985,-83.7115
Kody,2,7,Carter Lumber - Winder,770 Bankhead Hwy,Winder,30680,,Needs review,GSW,33.9985,-83.7115
Kody,2,8,84 Lumber,775 Bankhead Hwy,Winder,30680,770-868-0392,Verified,Dixie,33.9985,-83.7115
